,comment
269,வாரிசு ரிவியூ பார்த்து வயிறு எரிந்து துணிவு ரிவியூ பார்க்க வந்த ரசிகர்கள் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்
270,எப்படியும் கலாய்க்க தான் போறார் என நன்றாக தெரிந்தும் ரிவ்யூ பார்க்கும் ரசிகர்கள் சார்பாக படம் வெற்றியடைய வாழ்த்துக்கள்
271,இரண்டு படங்களுக்கும் உண்மையான ரிவியூ சொன்ன அண்ணனுக்கு மனதார நன்றி.
272,🥹படம் ரிலீஸ் ஆன பிறகு ஒரு வாரம் கழித்து படம் பார்க்கும் ரசிகர்கள் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்
273,படம் ரிலிசான அன்றே  மூவிஸ்டா வலைதளத்தில் வெளியானதால் மகிழ்ச்சி அடைந்த ரசிகர்கள் சார்பாக  இந்த ரிவிவு # டிரெண்ட் ஆக வாழ்த்துக்கள்
274,சிரிப்ப அடக்க முடியல சாமி 
275,இப்பதான் ரொம்ப சந்தோசமா இருக்கு என்று நினைக்கும் விஜய் ரசிகர்களுக்கு.பொங்கல் நல்வாழ்த்துக்கள் இது தளபதி பொங்கல் 
276,ஆளுநர் ரெவி ரசிகர்கள் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்
277,துணிவு படத்தை  விட வாரிசு படத்தை வச்சி செஞ்சி இருக்கும்  ப்ளூ சட்டை என்று கவலை படும் விஜய் ரசிகர்கள்  சார்பாக வாழ்த்துக்கள்
278,"""எவ்வளவு செலவு செய்து படம் எடுத்தாலும் 500 ம்பி மட்டும் செலவு செயும் ரசிகர்கள் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்.."
279,இதோடு விட்டுவிட்டாறே என்று மன ஆறுதல் படும் தல ரசிகர் சார்பாக படம் வெற்றிபெற வாழ்த்துக்கள்
280,3:23 விவேகம் நினைவிற்கு வருகிறது
281,3:41..... பொங்கல் அன்னைக்கு தீபாவளி பார்த்த மாதிரி இருந்துச்சு 
282,பணமில்லாமல் படம் பார்க்க முடியாமல் விமர்சனத்தை மட்டுமே பார்த்து படம் பார்த்த சந்தோசத்தை அடையும் பாமரன்கள் சார்பாக படம் வெற்றியடைய வாழ்த்துகள்.
283,5:31 தலைவா கடைசில அந்த டிக்கெட் கதை செம சூப்பர்   சிரிச்சி சிரிச்சி வயிறு வலிக்குது தல  
284,வீணா போன ரசிகர் சார்பாகவும் நாசமா போன ரசிகர் சார்பாகவும் படம் வெற்றி பெற வாழ்துகள்
285,"""துணிவு ரிவ்யூவை ஆவலோடு எதிர்பார்க்கும் விஜய் ரசிகர்கள் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள் "
286,ஹிந்தி மெகா சீரியல் ரசிகர்கள் சார்பாக துணிவு படம் வெற்றி பெற வாழ்த்துக்கள் ..
287,"இது போதும் தலைவா
 7:24 ️️️"
288,எந்தெந்த ரசிகர்கள் சார்பாக வாழ்த்து வந்து இருக்கிறது என்று தெரிந்து கொள்ள வந்த ரசிகர்கள் சார்பாக... படம் வெற்றி பெற வாழ்த்துக்கள்
289,இன்னும் ஆண்டி இந்தியன் படம் வெளிவந்தது தெரியாமல் இருக்கும் ரசிகர்கள் சார்பாக துணிவு படம் வெற்றிபெற வாழ்த்துக்கள்
290,அஜித் ரசிகர்கள் மைன்ட் வாய்ஸ் : நல்ல வேளை வாரிசு அளவுக்கு நம்மல கிழிக்கல..
291,மன ஆறுதல் தேடும் விஜய் ரசிகர்கள் சார்பாக படம் வெற்றியடைய வாழ்த்துகள்
292,விளையாட்டு பூனைகள் சங்கத் தலைவர் அண்ணன் ப்ளூ சட்டை மாறனுக்கு விளையாட்டு பூனைகள் சார்பாக வாழ்த்துக்கள் 
293,மேயர் பிரியா ரசிகர்கள் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்.
294,"தீபாவளி மற்றும் பொங்கலுக்கு பழைய படி 5 படங்கள் ரிலீஸ் பண்ணனும்...
நம்ப தீபாவளி மற்றும் பொங்கலுக்கு ஒரே நாளில் 3 படம் பார்த்தவர்கள்."
295,வாரிசு படம் மாதிரி இந்த துணிவு படம் ரிவூவ்-வும் நெகட்டிவ் வாக இருக்கும் என பார்க்க வந்தவர்கள் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள் 
296,தல ரசிகன் தளபதி ரசிகன் என மோதும் ரசிகர்கள் மத்தியில் தலதளபதி இருவரையும் நேசிக்கும் தரமான ரசிகர்கள் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்
297,தல படத்துக்கு வரவேற்பு அதிகரிக்க மன ஆறுதலுக்காக ரிவியூ பார்க்க வந்த தளபதி ரசிகர்கள் சார்பாக படம் வெற்றிபெற வாழ்த்துக்கள்..
298,ஏதோ ஒரு ரசிகர்கள் சார்பாக வாழ்த்துக்கள்!!
299, சரியா சொன்னீங்க  படம் நல்லா இருந்தா மட்டும் திறையறுங்கு போகும் ரசிகர்கள் சார்பாக வாழ்த்துக்கள் 
300,சூப்பர் ஜீ நீ உண்மையே பெரிய ஜெனியஸ்தான்...
301,"""இது கவிதை(னு) யார் சொன்னா?""
""பைத்தியக்காரன்""
""முட்டாள்களுக்கு மட்டும்""
""எனக்குப் பொக்கிஷம்"""
302,அண்ணன் ப்ளூ  சட்டை மாறன் அவர்களுக்கு வாழ்த்துக்கள்
303,எவ்வளவு நன்றாக படம் இருந்தாலும் இவர் தவறாக தான் விமர்சனம் சொல்லுவார் என தெறிந்தும் விடியோ பார்க்க வந்திருக்கும் தல ரசிகர் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்
304,"தலைவனோட உச்ச கட்ட கலாய்  விமர்சனத்தில் அண்ணாத்த, விவேகம் இரண்டையும் அடிச்சிக்க முட்டியது "
305,பாரபட்சம் இல்லாமல் பட்டய கெளப்பும் புளூ சட்டைக்கு நன்றி 
306,தலைவா நீங்க சொன்ன பிறகு படம் பாக்கற ஆசையை போச்சு
307,இதுவரை விவேகம் படத்தின் கதை என்னவென்றே தெரியாமல் இருக்கும் ரசிகர்கள் சார்பாக படம் வெற்றிபெற வாழ்த்துக்கள்...
308,சின்ன வயசுல பெட்லயே ஒன்னுக்கு போகும் சினிமா ரசிகர்கள் சார்பாக வாழ்த்துக்கள் ️
309,என் மனசுல இருந்த பாரமே கொரஞ்சிருச்சு என நினைக்கும் தளபதி ரசிகர்கள் சார்பாக படம் வெற்றி அடைய வாழ்த்துக்கள் 
310,2 மணி நேரம் படத்தை உண்மை என்று நம்பி உயிரை கொடுக்கும் 5 அறிவு மனிதர்கள் சார்பாக வாழ்த்துக்கள் ️️️
311,மனநோயலியாய் மாறிவிட்ட சினமா ரசிகர்கள் திருந்தி வாழ வாழ்த்துகள்
312,இந்த தாயொலிக்கு ஒரு சாவு வராதா என்று ஏங்கும் ரசிகர்கள் சார்பாக வீடியோ வெற்றி பெற வாழ்த்துக்கள்...
313,"ரிவ்யூவால் அஜித் ரசகர்களை திருப்தி 
படுத்திய புளூ சட்டை மாறன் சார்பாக இந்த படம் வெற்றி பெற வாழ்த்துக்கள்"
314,படம் பார்க்கும் போது தூங்கிடடார் பாவம் நீல சட்டைக்கு வயசு கூட கண்ணும் வடிவா தெரியாது காதும் வடிவா கேக்காது ️️️ துணிவு படத்தில் மக்களுக்கான செய்தி இருக்கு நன்றி 
315,தல ரசிகர்கள் சார்பாக இனிய பொங்கல் நல்வாழ்த்துக்கள்  
316,துணிய மனமில்லாமல் ரிவீவ் பார்க்க வரும் ரசிகர்கள் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்
317,ஏதாவது கழுவி உத்த மாட்டாரா என காத்திருக்கும் விஜய் ரசிகர் கள் சார்பாக படம் வெற்றி பெற வாழ்த்துகள்
318,ஹிந்தி சீரியல் சார்பாக வெற்றி பெற வாழ்த்துக்கள்
319,எப்படி படம் எடுத்தாலும் ஒரே குத்தமா சொல்றானேய்யா என பேசாம இந்த படங்கள இவங்கிட்ட திரும்ப குடுத்து எந்த குறையும் இல்லாம எடுத்துத்தா என சொல்லலாமா என்று யோசிப்போர் சார்பாக படம் வெற்றியடைய வாழ்த்துக்கள்
320,தமிழே தெரியாமல் தமிழ் படம் பார்க்கும் ரசிகர்கள் சார்பாக படம் வெற்றிப்பெற வாழ்த்துக்கள்.
321,"உண்மையான ரிவ்யூக்காக இல்லாமல், பொழுதுபோக்க மட்டும் காமெடி பீஸ் ப்ளூ சட்டை அவர்களை பார்ப்பவர்கள் சங்கம் சார்பாக படம் வெற்றி அடைய வாழ்த்துக்கள்."
322,விஜய் ரசிகர்கள் மனசு இப்போதான் குளிரும்
323,என் மனசுல இருக்கிற பாரம் எல்லாமே இப்பதாண்டா இறங்கிடுச்சு. நன்றி தலைவா
324,பொங்கலுக்கு தீபாவளிய பார்த்த மாதிரி இருக்கு ..... ஆனால் படம் எனக்கு புடிச்ச இருக்கு......
325,தாங்களுக்கு சாப்பாட்டுக்கு வழி இல்லாமல் அஜித் விஜய் போன்றவர்களை வாழவைக்கும் ரசிகர்கள் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்
326,இப்பதான் ரொம்ப சந்தோசமா இருக்கு என்று நினைக்கும் விஜய் ரசிகர்களுக்கு.பொங்கல் நல்வாழ்த்துக்கள் இது தளபதி பொங்கல் 
327,நல்ல வேலை நான் பணத்தை மிச்சம் பண்ணிட்டேன் 
328,டேய் வயிறு எரியுதா உனக்கு என்னைக்குமே தல தளபதி தான் டா மாஸ் 
329,மகிழ்ச்சி வாழ்த்துகள் 
330,படமே பார்க்காமல் ரிவ்யூ மட்டும் பார்க்கும் அஜித் ரசிகர்கள் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்
331,"தலைவர் தமிழ் படம் மட்டும் குறை சொல்லுவர்
மற்ற மொழி படங்களை மட்டும் குறை சொல்ல மாட்டார்

இது தான் உண்மை"
332,வாரிசு ரிவ்யூ பார்த்து மனமுடைந்து வந்து துணிவு ரிவ்யூ பார்க்கும் விஜய் ரசிகர்கள் சார்பாக வாழ்த்துக்கள் 
333,"இந்த இரண்டு படம் நல்லா தான் இருக்கு,ஒரு படம் நமக்கு என்ன செய்யவேண்டும் நம் கவலை மறந்து வேறு தேவையற்ற நமக்கு வேண்டாத ஒன்றை சிந்தனை வராமல் மகிழ்ச்சி செய்ய வேண்டும் அதில் இந்த இரண்டு செய்து உள்ளது அதில் துணிவு படத்தில் வசனம் உள்ளது மக்களை பொழுதுபோக்கு செய்பவர்களை இவர்கள் கடவுளா தலைவனா பார்க்கும் வழக்கமாக மக்கள் உள்ளார்கள் என்று அந்த துறை இருக்கும் போது இந்த கருத்தை செல்வது அதற்கு அனுமதி கொடுத்த அஜித், வினோத் உண்மையில் துணிவு அதிகம் தான் இந்த. டெத்பாடிக்கு தமிழ் படத்தை குறைகூர்வதுதான் வேலை"
334,விஜய் ரசிகர்களுக்கு மன ஆறுதலைத் தந்த அண்ணன் மாறனுக்கு கோட்டான கோடி நன்றி 
335,"ரொம்ப சரியா சொன்னீங்க சார்
இயக்குனர் விருப்பம் போல்
விட்டாலே படம் நல்லா வரும்
உதாரணம் "
336,மன ஆறுதல் தேடி வந்திருக்கும் விஜய் ரசிகர்களுக்கு 67 வெற்றி பெற வாழ்த்துகள்.
337,எதிர்பார்த்ததுதான்... பெரிய ஹீரோக்கள் படம் எடுத்தா லைப் செட்டில்னு நினைச்சு கோடிக்கனக்குல சம்பளம் வாங்கிட்டு அட்ரஸ் இல்லாம போகிற டைரக்டர்கள் சார்பாக வாழ்த்துக்கள் ....
338,உலக தல ரசிகர் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்
339,இது எதிர்பார்த்த விமர்சனங்கள் தானே என நினைக்கும் ரசிகர் சார்பாக நல்ல பட வாழ்த்துக்கள்
340,ரிவ்யூ பார்த்துவிட்டு அப்பாடா! என்று பெருமூச்சு விடும் விஜய் ரசிகர்கள் சார்பாக வாழ்த்துக்கள்
341,வாரிசு விமர்சனம் விமர்சந்த்திற்கே ஒரு டிரெய்லர் விமர்சனம்...
342,மல்லக்கபடுத்து கொண்டு  ரிவிவ் பார்க்கும் அனைவரின் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்
343,படத்துக்கு போக காசில்லாமல் ரிவியு பார்த்து சந்தாஷா படுவோர் சார்பாக வாழ்த்துக்கள் 
344,தமிழ் சினிமா சூப்பர் ஸ்டார்ஸ்கள் நல்ல கதை உள்ள படங்களை தேர்வு செய்ய தவறினால் தோல்வி தான் ஏற்படும்.. ஆனால் அவர்களின் கவனம் சம்பளத்தில் தான் உள்ளது 
345,துள்ளி குதித்தது ️ ரசிகர்கள் சார்பாக வாழ்த்துக்கள்
346,தன் சொந்த வாழ்க்கையிலேயே திருப்தி படாத புளுபில்ம் மாறன் சார்பாக வாழ்த்துக்கள்
347,கடைசியா துணிவு படம் பார்க்காமலே இறந்துபோன அந்த அஜித் ரசிகருக்கு ஆழ்ந்த இரங்கல்கள்
348,"ரொம்ப குஷ்டம்...... ஏது???
ரொம்ப கஷ்டம் ன்னு சொல்ல வந்தேன் பா....... "
349,படம் வெற்றி பெற வாழ்த்துகள் 
350,ரத்தவாந்தி எடுத்த ரசிகர்கள் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்
351,படம் பார்க்காமல் ரிவியூ பார்க்க வந்திருக்கும் ரசிகர் சார்பாக வாழ்த்துக்கள்... 
352,நீ என்ன சொன்னாலும் நான் படத்தை தமிழ் ராகேர்ஸ்ல தான் பார்ப்பேன்னு சொல்லும் ரசிகர்கள் சார்பாக வாழ்த்துக்கள்
353,எதிர்பார்த்து எதிர்பாத்து ஏமாந்து போகும் அஜித் ரசிகர்கள் சார்பாக துணிவு வெற்றி பெற வாழ்த்துக்கள்
354,துணிவு படம் மாபெரும் மிகப்பெரிய மெகா ப்ளாக் பஸ்டர் ஹிட்
355,இப்பதான் ரொம்ப சந்தோசமா இருக்கு என்று நினைக்கும் விஜய் ரசிகர்களுக்கு.பொங்கல் நல்வாழ்த்துக்கள் இது தளபதி பொங்கல் 
356,தலயா? தளபதியா? என ஆவளோடு எதிர்பார்த்து காத்திருக்கும் ரசிகர்கள் சார்பாக வாழ்த்துக்கள் 
357,இப்பதான் ரொம்ப சந்தோசமா இருக்கு என்று நினைக்கும் விஜய் ரசிகர்களுக்கு.பொங்கல் நல்வாழ்த்துக்கள் இது தளபதி பொங்கல் 
358,அந்த 3 படமும் லோ பட்ஜெட் படம்.....
359,மன ஆறுதல் தேடி வந்திருக்கும் விஜய் ரசிகர்கள் சார்பாக வாழ்த்துக்கள்...!
360,இப்பதாண்டா சந்தோசமா இருக்கு என்று நினைக்கும் விஜய் ரசிகர் மன்றம் சார்பாக இந்த வீடியோ வெற்றி பெற வாழ்த்துக்கள்.
361,அஜித் ஆங்கில படம் ஹீரோ அளவுக்கு நடித்துள்ளார் மிகவும் சிறப்பாக நடிப்பு படம் பார்க்கும் ஆர்வம் ஆர்வம் ஏற்படுகிறது ஒவ்வொரு அஜித் ரசிகர் பார்க்க வேண்டிய படம்
362,வெளுத்து போன பச்சை சட்டை மாறனை நீலச் சட்டை மாறன் என அழைக்கும் ரசிகர்கள் சார்பாக படம் வெற்றி பெற என வாழ்த்துக்கள்.
363,வெள்ளை மீசை மாறன் ரசிகர்கள் சார்பாக படம் வெற்றி பெற வாழ்த்துகள்
364,மரணபீதியில் காத்திருக்கும் தல   ரசிகர்களின் சார்பாக 
365,ஆன்ட்டி இந்தியன் வெற்றி பெற வாழ்த்துக்கள் மிஸ்டர் புளூ 
366,வன்மத்தை கக்க வந்த தலதளபதி ரசிகர்கள் சார்பாக வாழ்த்துக்கள்
367,தலைவன் என்ன சொல்வானோ என்று பயத்துடன் வீடியோ பார்க்கும் ரசிகர்கள் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்
368,தமிழ் சினிமாவின் சிறந்த இயக்குனர் ஐயா புளூ சட்டை மாறன் அவர்களின் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்
369,இந்த கதைக்கு என்னடா கொரச்சல்
370,பாக்கியராஜ் ரசிகர்கள் சார்பாக படம் வெற்றிகரமாக வெற்றி அடைய வாழ்த்துக்கள் 
371,தமிழநாட்ல ஒரு வீரமான விமர்சகர்
372,அஜீத் லுக்  வில்லத்தனமான பேச்சி ரசிக்கும்படியா இருக்குனு சொல்லி அஜீத் ரசிகர்களை சந்தோஷ படுத்தியதற்க்கு நீல சட்டைக்கு நன்றி...
373,உங்கள் விமர்சனம் அருமை
374,5:55 ரெண்டு படமூம்பாத்துட்டு ரத்தவாந்திஎடுக்குறானுக
375,நல்லாத்தான்யா இருக்கு படம்.
376,ஆன்ட்டி இந்தியன் படம் வெற்றி பெற வாழ்த்துக்கள் 
377,உண்மை பேசும் தலைவனுக்கு வாழ்த்துக்கள்
378,ரேசன் கடையில் முந்தியடித்து ரூ-1000/- பெற்றவர்களின் சார்பாக படம் வெற்றியடைய வாழ்த்துக்கள்
379,படுதுகிக்கிட்டே ஈவிவ்  பார்க்கும் ரசிகர்கள் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்....
380,இரண்டு படங்களும் நன்றாக இருக்கிறது.. அது பார்த்து ரசிக்கும் கண்ணோட்டத்தில் தான் இருக்கிறது...
381,சூரி ரசிகர்கள் சார்பாக படம் வெற்றி அடைய வாழ்த்துக்கள்
382,மன ஆறுதலுக்கு வந்த தளபதி ரசிகர்கள் சார்பாக படம் வெற்றிபெற வாழ்த்துக்கள் 
383,தியேட்டர் க்கு போக பயந்து. இன்று நெட்பிலிக்ஸ் இல் ஆர்வமாக பார்த்து  மண்ட காய்ந்து  பல்பு வாங்கியவர்கள் சார்பாக வாழ்த்துக்கள்
384,மோகன சுந்தரத்துக்காக படம் பார்க்க போக இருக்கும் ரசிகர்கள் சார்பாக வாழ்த்துக்கள் ..
385,"மொத்தத்துல இந்த ரிவீவ் எப்படி இருக்கு னா...... இதுக்கு முன்னாடி எந்த படத்தையும் இவ்வளவு மோசமா கழுவி ஊத்தனதே இல்ல..... 
சும்மா, சபீனா போட்டு கழுவு கழுவு ன்னு கழுவி அலசி ஊதியாச்சு "
386,"இவன் ரிவியூ வும், இவன் மூஞ்சும் னு மனசுக்குள்ள நெனச்சிக்கிட்டு படம் பார்க்க துடிக்கும் ரசிகர்களுக்கு வாழ்த்துக்கள்"
387,ஆன்டி இந்தியன் 2  வை ஆவலுடன் எதிர்பார்க்கும் ரசிகர்கள் சார்பாக திரைப்படம் வெற்றி பெற வாழ்த்துக்கள்...
388,இன்னும் மனசு விடாமல்  தமிழ் ராக்கர்ஸ்   தேடிப் பார்க்கும்    அப்புராணிகள்  சார்பாக   வா & து  இரு படங்களும் வெற்றி பெற வாழ்த்துகள்.
389,மன ஆறுதல் அடைந்த அணில் ரசிகர்கள் சார்பாக வீடியோ வெற்றி பெற வாழ்த்துகள்     
390,ஒரு கோடி பணம் வாங்கி கொண்டு துணிவுக்கு நல்ல ரிவியூ சொல்லும் விஜய் ரசிகர்கள் சார்பாக வாழ்த்துகள்
391,படம் குணிவு என்று தெரிந்தும் தெரியாததை போல் முட்டு குடுக்கும் அஜித் ரசிகர்கள் சார்பாக படம் வெற்றி பெற வாழ்த்துகள் 
392,பூலு சட்ட என்ன சொல்றான்னு பார்க்க வந்த தற்குறிகளுக்கு... வாழ்த்துக்கள்.
393,துணிவு துணிவா நிக்கும் தல தனியா நிக்கும்  இப்படம் வெற்றி பெற வாழ்த்துக்கள்
394,படம் பார்த்து விட்டு இங்கு வந்து ரிவியூ பார்க்கிற நண்பர்கள் சார்பாக ஒரு லைக் போடுங்க
395,எதாவது ஆறுதல் கிடைக்குமா என்று துணிவு ரிவ்யூ பார்க்க வந்த அஜித் ரசிகர்கள் சார்பாக படம் வெற்றி பெற வாழ்த்துகள்.
396,ஆன்டி இந்தியன் என்னும் திரைகாவியத்தை கொடுத்த  அற்புத கலைஞர் இவர்
397,டைரக்டர் வேலை செய்ய விடுங்கயா 
398,கமன்ட்ஸ் படிக்க வந்திருக்கும் நண்பர்கள் சார்பாக படம் வெற்றி பெற  வாழ்த்துக்கள்
399,மிக அருமையான விமர்சனம் 
400,"இரு படங்களும்,  அருமை அருமை..."
401,மொபைல் போனில் படம் பார்க்கும் ரசிகர்கள் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்.
402,"துணிவுக்கு  ப்ளூ சட்டை ,நெகடிவ் ரிவியூவ் கொடுக்கணும்னு சாமி கும்பிடும் விஜய் ரசிகர்கள் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்."
403,"நீங்கள் படத்தை விமர்சனம் செய்யும் விதமே புரிந்தவங்களுக்கு மட்டும் 
தனி சுகந்தான்  உலக நாயகன் கமல்ஹாசனாக இருந்தாலும்; உண்மையை உறக்கச் சொல்லும் உண்மை நாயகன் திருமிகு: புளு சட்டை மாறன் சிர் அவர்களுக்கு மனமார்ந்த  பாராட்டுக்கள் & வாழ்த்துக்கள்  வாழ்க வளமுடன்"
404,பெரிய ஹீரோவை வைத்து எடுக்கும் போது இப்படி தான் ஆகும்....அதுவும் தலயை வைத்து எடுக்கும் ரசிகர்களுக்கு பல ஸ்ரோரிங்கிங் கொடுக்க வேண்டும்.....இதில் தான் குழப்பம் ஏற்பட்டிருக்கும்
405,"அருமையான விமர்சனம்
சூப்பர் சார்..! அருமை சூப்பர்
வாழ்க வளமுடன்
உண்மையின் நாயகன்"
406,""" விவேகம் "" திரைக்காவியம் சார்பாக படம் வெற்றி பெற வாழ்த்துகள்    "
407,டைரக்டர் இளமையாதா இருக்காரு நடிச்சாலும் தவறில்லை.
408,நீங்கள் பேசியது அனைத்தும் உண்மை.....  எனது மனமார்ந்த வாழ்த்துக்கள்
409,பூலிவினி மாறன் ரிவியூவ் பார்கவந்த  ரசிகர்கள் சார்பில் படம் வெற்றி பெற வாழ்த்துகிறோம்
410,ரெண்டு படமும் ..தராச  இழுத்து அந்து போச்சா யோவ் ️
411,"தேட்டர் பிரிண்ட் இல் பார்பவருக்கு படம் புரியும் படி, தேட்டெரில் அதிகம் சத்தம் போடாமல் படத்தை மட்டும் பார்க்கும் ரசிகர்கள் சார்பாக படம் வெற்றிபெற வாழ்த்துக்கள்...."
412,ஆன்டி இண்டியன் காக்கா குஞ்சு கதை ப்ளூ சட்டை மாறன் 
413,யாரெல்லாம் விஜய் 67க்கு வெயிட் பண்றது
414,2:55 கிராம சபை கூட்டமா 
415,ரெண்டு படத்தையும் நிருத்து பாக்கும் திராசு சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்
416,வரபோகும் சலார் படம் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்
417,வாழ்த்துக்கள் கமெண்டுகளை பார்த்து கடுப்பாகும் நண்பர்கள் சார்பாக படம் வெற்றி பெற வாழ்த்துகள்..
418,எப்படியோ அடுத்த படம் எங்க தளபதிக்கு லோகேஷ் கனகராஜ் அது போதும் எங்களுக்கு 
419,"சூப்பர் சார்  
நா இரண்டு படமும் பாத்துட்டேன்
முடியல வச்சு சேஞ்சுடாங்க
ரிவ்யு சூப்பர் கலகிட்டடீங்க"
420,வாரிசு ரிவிய்வ் அ விட கேவளமா இருக்கனும்னு ஆர்வத்தோடு பார்க்கும் ரசிகர்கள் சார்பாக......
421,அருமை
422,"மனவருத்தத்துடன் இருக்கும் அஜித் ரசிகர்களுக்கு 
தளபதி ரசிகர்களின் சார்பான அனுதாபங்கள்...."
423,மன நோயாளிகள் ஆகிருக்கும் ரசிகர்கள் சார்பாக வாழ்த்துக்கள்....
424,பொங்கல் நாள் அன்று தீபாவளி கொண்டாட்டத்தை காட்டிய இரு முட்டால்களுக்கும் என் வாழ்த்துக்கள் 
425,எப்படா வீடியோ போடுவாங்கன்னு காத்துக் கொண்டே இருக்கும் ரசிகர் மன்றம் சார்பாக இந்த வீடியோ வெற்றி பெற வாழ்த்துக்கள் 
426,ஆன்ட்டி இன்டியன் படத்தை கொண்டாடிய ரசிகர்கள் சார்பாக வாழ்த்துக்கள்...
427,அப்பாடா என்று நிம்மதி அடையும் விஜய் ரசிகர்கள் சார்பாக வாழ்த்துக்கள்
428,பஜன்லால்ஷேட் ரசிகர்மன்றம் சார்பாக படம் வெற்றிபெற வாழ்த்துக்கள்
429,இவ்வளவு வெளிப்படையாக பேசும் உங்களை பாராட்டுகின்றேன் 
430,என் நண்பன் ஒரு தல ரசிகன்! என சொல்லி கொண்டு இருக்கும் தரு தல ஆமை குமார் ரசிகன்! ஆனால் இப்போது அவன் தளபதி விஜய் ரசிகனாக  மாறிவிட்டான் காரணம் (கு) துணிவு விட வாரிசு அதிகமாக வசூல் சாதனையை செய்து இருப்பதால்!
431,"முதல் தடவை இவரது விமர்சனம் பார்க்கிறேன், இது என்ன விமர்சனம், குரலும்  ரொம்ப சுமார் , ."
432,டெலிகிராமில் எச்டி பிரிண்ட் வரும் காத்திருக்கும் ரசிகர்கள் சார்பாக வாழ்த்துக்கள்
433,கழுவி ஊத்துவது என்பது இது தானோ 
434,"தாங்கள் நகைச்சுவை செய்ய முயற்சி செய்து உள்ளீர்கள் வாழ்த்துகள்.. 
ஆனால் சிரிக்கும் படி இல்லை"
435,ஊருக்கு போகும் டிக்கெட் இல்ல படத்துக்கு போறதுக்கு டிக்கெட்  இல்லாமல் ரிவ்யூ பார்க்கும் மக்கள் சார்பாக வீடியோ வெற்றி பெற வாழ்த்துக்கள்
436,சண்டை போட்டுக்  கொண்டிருந்த விஜய் அஜித் ரசிகர்களை நண்பர்களாய் சேர்த்து வைத்ததற்கு நன்றி....
437,விவேகம் ரிவியூவ் நியபகம் வருது.. 
438,படம் நடிக்காமல் இருக்கும் மியா கலிபா ரசிகர்கள் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள் 
439,படத்துல எந்த ஒரு லாஜிக்கும் இல்ல மேஜிக்கும் இல்ல.....சூப்பர் மாறா
440,ப்ளூ சட்டையின் அரைகுறை விமர்சனத்தை கேட்டு ஏமாறப்போகும் மக்கள் சார்பாக வாழ்த்துக்கள்.
441,எந்த படம் வந்தாலும் நல்லா இல்ல சொல்லும் ப்ளூ சட்டை மாறன் சார்பாக இரண்டு படம் மு வெற்றி பெற வாழ்த்துக்கள் ️.
442,எனக்கு தெரிஞ்சு படம் நல்லாருக்கு என்று சொல்லும் ரசிகர்கள் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்...
443,துணிவுடன் இதனை பார்க்கும் ரசிகர்கள் சார்பாக படம் வெற்றி கொண்டாட்டம் போட வாழ்த்துக்கள்
444,வேற லெவல் காமெடி பொங்கலுக்கு தீபாவளியை பார்த்ததா போச்சு 
445,மன தைரியத்துடன் பார்க்கும் அஜித் ரசிகர்களுக்கு வாழ்த்துக்கள்..
446,"அஜித் - விஜய் = தமிழ் 
சினிமாவின் துயரங்கள்..!!"
447,குளுர்ள குளிக்கலாம வேனாம னு கோழப்பத்துல இருக்குற சங்கங்கள் சார்பாக  பட வெற்றி பெற வாழ்த்துக்கள் 
448,அப்பாடா என நினைத்த விஜய் ரசிகர்கள் சார்பாக வாழ்த்துக்கள்
449,நைட்டு கொசுகடிதாங்க முடியாம ரீவீவ் பாக்கவந்த ரசிகர்கள்சார்பாக படம்வெற்றிபெ வாழ்த்துக்கள்
450,வாரிசு ரசிகர்களின் காத்திருப்பு 
451,மன தைரியமாக இதை பார்க்க வந்த ரசிகர்கள் சார்பாக வாழ்த்துகள்
452,ஜெய ஜெய ஜெய ஹே திரைப்படத்தின் இயக்குனர் வேற  ஹீரோ வேறு என்பதை தெரியாமல் விமர்சிக்கும் ப்ளூ கொட்டைக்கு வாழ்த்துக்கள்
