Tweet,Date of Tweet,Topic,Parent Tweet,Language
don't ever review on cultural n tradion it will....,"Jan 20, 2017",Jalikattu,"Lakhs of Idiots, uneducated Tamil ppl want to lift ban on #jalikattu 2play with animals to hurt them. So how can u expect gud from such ppl?",ENGLISH
mobile pe kitna candy crush khelega log,"Jan 19, 2017",Jalikattu,"Lakhs of Idiots, uneducated Tamil ppl want to lift ban on #jalikattu 2play with animals to hurt them. So how can u expect gud from such ppl?",ENGLISH
fuck you bitch,"Jan 19, 2017",Jalikattu,"Lakhs of Idiots, uneducated Tamil ppl want to lift ban on #jalikattu 2play with animals to hurt them. So how can u expect gud from such ppl?",CODE-MIXED
"तुम क्या जानो, मतवाला खेलता जल्लीकट्टु ,रामदेव का योगा नहीं, खेल दे शिल्पा शेट्टी","Jan 19, 2017",Jalikattu,"Lakhs of Idiots, uneducated Tamil ppl want to lift ban on #jalikattu 2play with animals to hurt them. So how can u expect gud from such ppl?",HINDI
stop killing animals and biryani,"Jan 19, 2017",Jalikattu,"Lakhs of Idiots, uneducated Tamil ppl want to lift ban on #jalikattu 2play with animals to hurt them. So how can u expect gud from such ppl?",ENGLISH
dai pan masala vaaya....mooditu poiru..chutiyae,"Jan 19, 2017",Jalikattu,"Lakhs of Idiots, uneducated Tamil ppl want to lift ban on #jalikattu 2play with animals to hurt them. So how can u expect gud from such ppl?",CODE-MIXED
hi asshole suck my dick lick my dick and eat my dick...but i will fuck ur aashole u gay am damn sure...motherfucker,"Jan 19, 2017",Jalikattu,"Lakhs of Idiots, uneducated Tamil ppl want to lift ban on #jalikattu 2play with animals to hurt them. So how can u expect gud from such ppl?",ENGLISH
is this how you  review the films too. Please understand the subject before you tweet.,"Jan 19, 2017",Jalikattu,"Lakhs of Idiots, uneducated Tamil ppl want to lift ban on #jalikattu 2play with animals to hurt them. So how can u expect gud from such ppl?",ENGLISH
tu wahi animals ko kaat ke khaane k time pe hai yaad nahi aatha ? Tera logic b tere jaise chutiya.....,"Jan 19, 2017",Jalikattu,"Lakhs of Idiots, uneducated Tamil ppl want to lift ban on #jalikattu 2play with animals to hurt them. So how can u expect gud from such ppl?",CODE-MIXED
..In India and in whole world Muslims r most uneducated..,"Jan 19, 2017",Jalikattu,"Lakhs of Idiots, uneducated Tamil ppl want to lift ban on #jalikattu 2play with animals to hurt them. So how can u expect gud from such ppl?",ENGLISH
Poda Thevdiya Paiyaa,"Jan 19, 2017",Jalikattu,"Lakhs of Idiots, uneducated Tamil ppl want to lift ban on #jalikattu 2play with animals to hurt them. So how can u expect gud from such ppl?",CODE-MIXED
"your cheapness, your smug arrogance and your social media platform","Jan 19, 2017",Jalikattu,"Lakhs of Idiots, uneducated Tamil ppl want to lift ban on #jalikattu 2play with animals to hurt them. So how can u expect gud from such ppl?",ENGLISH
"Mr, mind your words. There r IT ppl, Doctors, Engineers, Lawyers protesting. R they all uneducated? Get some brain b 4 tweeting","Jan 19, 2017",Jalikattu,"Lakhs of Idiots, uneducated Tamil ppl want to lift ban on #jalikattu 2play with animals to hurt them. So how can u expect gud from such ppl?",ENGLISH
if I were you I'll just review the movies and shut the hell up don't review tamil culture ! #Tamilanda,"Jan 19, 2017",Jalikattu,"Lakhs of Idiots, uneducated Tamil ppl want to lift ban on #jalikattu 2play with animals to hurt them. So how can u expect gud from such ppl?",ENGLISH
teri ma ki ...!!! Mu band kat MC,"Jan 20, 2017",Jalikattu,"Lakhs of Idiots, uneducated Tamil ppl want to lift ban on #jalikattu 2play with animals to hurt them. So how can u expect gud from such ppl?",CODE-MIXED
Oh it hurts animals... Then what about Bakra Eid..?,"Jan 20, 2017",Jalikattu,"Lakhs of Idiots, uneducated Tamil ppl want to lift ban on #jalikattu 2play with animals to hurt them. So how can u expect gud from such ppl?",ENGLISH
बहिन** दोबारा कभी बिरयानी या कुछ और मांसाहारी खींचता हुआ दिख गया ना तो ये ट्वीट को गर्म करके पिछवाड़े में डाल दूंगा ।,"Jan 20, 2017",Jalikattu,"Lakhs of Idiots, uneducated Tamil ppl want to lift ban on #jalikattu 2play with animals to hurt them. So how can u expect gud from such ppl?",HINDI
krk I have lots of respect on U.. so pls don't use these words on us.. Ur words simply shows u r unawared of #jallikattu ..,"Jan 20, 2017",Jalikattu,"Lakhs of Idiots, uneducated Tamil ppl want to lift ban on #jalikattu 2play with animals to hurt them. So how can u expect gud from such ppl?",ENGLISH
Happy dat at least there is one who bothers to explain the tradition instead of abusing. Ppl outside TN not aware f this. Thanks for sharing,"Jan 20, 2017",Jalikattu,"Lakhs of Idiots, uneducated Tamil ppl want to lift ban on #jalikattu 2play with animals to hurt them. So how can u expect gud from such ppl?",ENGLISH
"abe shakal acchi nahi tho baatein acchi kiya kar
Kuch malum nahi tho bol mat
Waise eid pe cake ki tarah bakra katna bhool gaya?","Jan 20, 2017",Jalikattu,"Lakhs of Idiots, uneducated Tamil ppl want to lift ban on #jalikattu 2play with animals to hurt them. So how can u expect gud from such ppl?",CODE-MIXED
they are fighting for their rights ethics not for fighting with animals,"Jan 20, 2017",Jalikattu,"Lakhs of Idiots, uneducated Tamil ppl want to lift ban on #jalikattu 2play with animals to hurt them. So how can u expect gud from such ppl?",ENGLISH
what u know about our culture. Better be shut and do your own work u bloody shit,"Jan 20, 2017",Jalikattu,"Lakhs of Idiots, uneducated Tamil ppl want to lift ban on #jalikattu 2play with animals to hurt them. So how can u expect gud from such ppl?",ENGLISH
u stupid asshole why do not u stop eating beef,"Jan 20, 2017",Jalikattu,"Lakhs of Idiots, uneducated Tamil ppl want to lift ban on #jalikattu 2play with animals to hurt them. So how can u expect gud from such ppl?",ENGLISH
Hey you idiot.come to my tamilnadu marina beech and say this.,"Jan 20, 2017",Jalikattu,"Lakhs of Idiots, uneducated Tamil ppl want to lift ban on #jalikattu 2play with animals to hurt them. So how can u expect gud from such ppl?",ENGLISH
you stupid guy! What about your bakri id?,"Jan 20, 2017",Jalikattu,"Lakhs of Idiots, uneducated Tamil ppl want to lift ban on #jalikattu 2play with animals to hurt them. So how can u expect gud from such ppl?",ENGLISH
now tell who is idiot you bullshit,"Jan 20, 2017",Jalikattu,"Lakhs of Idiots, uneducated Tamil ppl want to lift ban on #jalikattu 2play with animals to hurt them. So how can u expect gud from such ppl?",ENGLISH
"bullshit nigga, it's 1000% better than slaughtering claves... Fight for banning meat products","Jan 20, 2017",Jalikattu,"Lakhs of Idiots, uneducated Tamil ppl want to lift ban on #jalikattu 2play with animals to hurt them. So how can u expect gud from such ppl?",ENGLISH
Don't underestimate the power of students!!you are only a uneducated guy,"Jan 21, 2017",Jalikattu,"Lakhs of Idiots, uneducated Tamil ppl want to lift ban on #jalikattu 2play with animals to hurt them. So how can u expect gud from such ppl?",ENGLISH
Wat about BAKRI-EID ??? ANY COMMENTS ?????,"Jan 20, 2017",Jalikattu,"Lakhs of Idiots, uneducated Tamil ppl want to lift ban on #jalikattu 2play with animals to hurt them. So how can u expect gud from such ppl?",ENGLISH
how nice are Muslims to animals on Bakrid they treat them with lots of mercy and love.,"Jan 20, 2017",Jalikattu,"Lakhs of Idiots, uneducated Tamil ppl want to lift ban on #jalikattu 2play with animals to hurt them. So how can u expect gud from such ppl?",ENGLISH
uneducated guys like u will tweet like this without knowing d ground reality. Poor boy feeling sad for u #jallikattu,"Jan 20, 2017",Jalikattu,"Lakhs of Idiots, uneducated Tamil ppl want to lift ban on #jalikattu 2play with animals to hurt them. So how can u expect gud from such ppl?",ENGLISH
Tu bakri eid pe Bakre kaatna kab band karega Chu**** !!,"Jan 20, 2017",Jalikattu,"Lakhs of Idiots, uneducated Tamil ppl want to lift ban on #jalikattu 2play with animals to hurt them. So how can u expect gud from such ppl?",CODE-MIXED
come to marina we'll teach you how to respect tamil ppl,"Jan 20, 2017",Jalikattu,"Lakhs of Idiots, uneducated Tamil ppl want to lift ban on #jalikattu 2play with animals to hurt them. So how can u expect gud from such ppl?",ENGLISH
gawaroon wali baat to aapne ki hai... Uneducated kaun hai ?,"Jan 20, 2017",Jalikattu,"Lakhs of Idiots, uneducated Tamil ppl want to lift ban on #jalikattu 2play with animals to hurt them. So how can u expect gud from such ppl?",CODE-MIXED
सिर्फ हरामजादे ही #jallikattu का विरोध कर सकते है और ये सब भडवे बकरीद और गो हत्या पर चुप रहते है!,"Jan 20, 2017",Jalikattu,"Lakhs of Idiots, uneducated Tamil ppl want to lift ban on #jalikattu 2play with animals to hurt them. So how can u expect gud from such ppl?",CODE-MIXED
"protestors are much more educated than you... And for more welfare of animals, stop eating non veg foods..","Jan 20, 2017",Jalikattu,"Lakhs of Idiots, uneducated Tamil ppl want to lift ban on #jalikattu 2play with animals to hurt them. So how can u expect gud from such ppl?",ENGLISH
"to all my Tamilians, this guy is a fool who knows nothing abt his culture let alone ours.. stop debating with him..","Jan 20, 2017",Jalikattu,"Lakhs of Idiots, uneducated Tamil ppl want to lift ban on #jalikattu 2play with animals to hurt them. So how can u expect gud from such ppl?",ENGLISH
"Dude, go do some useful work, dont get ur nose into something which you dont have any idea about!!!","Jan 20, 2017",Jalikattu,"Lakhs of Idiots, uneducated Tamil ppl want to lift ban on #jalikattu 2play with animals to hurt them. So how can u expect gud from such ppl?",ENGLISH
coming from 2 paisa ka aadmi,"Jan 20, 2017",Jalikattu,"Lakhs of Idiots, uneducated Tamil ppl want to lift ban on #jalikattu 2play with animals to hurt them. So how can u expect gud from such ppl?",CODE-MIXED
you are not giving revues on movie here you are talking about people emotions hope you understand ,"Jan 20, 2017",Jalikattu,"Lakhs of Idiots, uneducated Tamil ppl want to lift ban on #jalikattu 2play with animals to hurt them. So how can u expect gud from such ppl?",ENGLISH
if you r a man what you have written here come to marina beach chennai people will show you jallikattu ,"Jan 20, 2017",Jalikattu,"Lakhs of Idiots, uneducated Tamil ppl want to lift ban on #jalikattu 2play with animals to hurt them. So how can u expect gud from such ppl?",ENGLISH
"its Tamil culture, respect them.","Jan 20, 2017",Jalikattu,"Lakhs of Idiots, uneducated Tamil ppl want to lift ban on #jalikattu 2play with animals to hurt them. So how can u expect gud from such ppl?",CODE-MIXED
Madrasi tumhe chhodenge nahi,"Jan 20, 2017",Jalikattu,"Lakhs of Idiots, uneducated Tamil ppl want to lift ban on #jalikattu 2play with animals to hurt them. So how can u expect gud from such ppl?",CODE-MIXED
you are an example of half knowledge dumbass,"Jan 20, 2017",Jalikattu,"Lakhs of Idiots, uneducated Tamil ppl want to lift ban on #jalikattu 2play with animals to hurt them. So how can u expect gud from such ppl?",ENGLISH
"this is not a game, it's culture, don't blame...If you don't know, Google about it","Jan 20, 2017",Jalikattu,"Lakhs of Idiots, uneducated Tamil ppl want to lift ban on #jalikattu 2play with animals to hurt them. So how can u expect gud from such ppl?",ENGLISH
before u comment check d facts it's age long tradition,"Jan 20, 2017",Jalikattu,"Lakhs of Idiots, uneducated Tamil ppl want to lift ban on #jalikattu 2play with animals to hurt them. So how can u expect gud from such ppl?",ENGLISH
hello Mr.Right! Bloody do you know what is INDIA?? You kno what is #Jalikattu. Better shut your fucking garbage mind fucker,"Jan 20, 2017",Jalikattu,"Lakhs of Idiots, uneducated Tamil ppl want to lift ban on #jalikattu 2play with animals to hurt them. So how can u expect gud from such ppl?",ENGLISH
what abt bakra eid?,"Jan 20, 2017",Jalikattu,"Lakhs of Idiots, uneducated Tamil ppl want to lift ban on #jalikattu 2play with animals to hurt them. So how can u expect gud from such ppl?",CODE-MIXED
"..  KrK tera Janm to gali Khane k liye Hi hua hai..
 Shakl Changi ni he  to , kam se kam Gal to Changi Kiya kar..","Jan 20, 2017",Jalikattu,"Lakhs of Idiots, uneducated Tamil ppl want to lift ban on #jalikattu 2play with animals to hurt them. So how can u expect gud from such ppl?",CODE-MIXED
india earns more than $4.8billion from beef export n you r talking about eid,"Jan 20, 2017",Jalikattu,"Lakhs of Idiots, uneducated Tamil ppl want to lift ban on #jalikattu 2play with animals to hurt them. So how can u expect gud from such ppl?",ENGLISH
"Everyone is allowed to practice their tradition #jalikattu,but care shud be taken to not harm bulls & avoid injuries to humans.","Jan 20, 2017",Jalikattu,"Lakhs of Idiots, uneducated Tamil ppl want to lift ban on #jalikattu 2play with animals to hurt them. So how can u expect gud from such ppl?",ENGLISH
your a dumbass you don't have no right to call us Tamils uneducated you barbaric pig asshole,"Jan 20, 2017",Jalikattu,"Lakhs of Idiots, uneducated Tamil ppl want to lift ban on #jalikattu 2play with animals to hurt them. So how can u expect gud from such ppl?",ENGLISH
",You mad better tweet Modi to ban cow slaughtering all over India then ban our TN traditions","Jan 20, 2017",Jalikattu,"Lakhs of Idiots, uneducated Tamil ppl want to lift ban on #jalikattu 2play with animals to hurt them. So how can u expect gud from such ppl?",ENGLISH
we ever seen fool like you...,"Jan 20, 2017",Jalikattu,"Lakhs of Idiots, uneducated Tamil ppl want to lift ban on #jalikattu 2play with animals to hurt them. So how can u expect gud from such ppl?",ENGLISH
Come to marina and say this word,"Jan 20, 2017",Jalikattu,"Lakhs of Idiots, uneducated Tamil ppl want to lift ban on #jalikattu 2play with animals to hurt them. So how can u expect gud from such ppl?",ENGLISH
With safeguards I do not see what objection can there be to permitting this ancient sport of Tamil Nadu. #Jalikattu,"Jan 10, 2017",Jalikattu,With safeguards I do not see what objection can there be to permitting this ancient sport of Tamil Nadu. #Jalikattu,ENGLISH
mere sawalon ka jawab do dona,"Jan 10, 2017",Jalikattu,With safeguards I do not see what objection can there be to permitting this ancient sport of Tamil Nadu. #Jalikattu,CODE-MIXED
"@USER_47
 @USER_35
 there always is a middle path","Jan 10, 2017",Jalikattu,With safeguards I do not see what objection can there be to permitting this ancient sport of Tamil Nadu. #Jalikattu,ENGLISH
"Where were u all these days sir,did they arrest u for contempt of court?","Jan 10, 2017",Jalikattu,With safeguards I do not see what objection can there be to permitting this ancient sport of Tamil Nadu. #Jalikattu,ENGLISH
sit Help people of Tamilnadu  need CBI investiagtion on Tamilnadu CM JAYALALITHAA  death.,"Jan 10, 2017",Jalikattu,With safeguards I do not see what objection can there be to permitting this ancient sport of Tamil Nadu. #Jalikattu,ENGLISH
what about kambla races in dakshina kannada district?,"Jan 10, 2017",Jalikattu,With safeguards I do not see what objection can there be to permitting this ancient sport of Tamil Nadu. #Jalikattu,ENGLISH
"its not entertainment, winning bull is then used to impregnate cows, its science,pls see real meaning of #jallikattu","Jan 11, 2017",Jalikattu,With safeguards I do not see what objection can there be to permitting this ancient sport of Tamil Nadu. #Jalikattu,ENGLISH
"I agree its needs rules and reforms, but it is 4000 year old practice, pls kindly read true facts  abt #jallikattu","Jan 11, 2017",Jalikattu,With safeguards I do not see what objection can there be to permitting this ancient sport of Tamil Nadu. #Jalikattu,ENGLISH
"True, but these cruelty started happening after commercialization, after regulation in 2014, Cruelty reduced by 95%","Jan 11, 2017",Jalikattu,With safeguards I do not see what objection can there be to permitting this ancient sport of Tamil Nadu. #Jalikattu,ENGLISH
Read this http://suryaragupathy.blogspot.in/2016/09/jallikattu-beyond-sport.html… critically analysed. You will understand abt jallikattu.,"Jan 11, 2017",Jalikattu,With safeguards I do not see what objection can there be to permitting this ancient sport of Tamil Nadu. #Jalikattu,ENGLISH
"Special focus on the mass protests by students across Tamil Nadu for Jalikattu,with live reports from Marina beach","Jan 18, 2017",Jalikattu,"Special focus on the mass protests by students across Tamil Nadu for Jalikattu,with live reports from Marina beach",ENGLISH
Jallikattu ban has evoked the kind of Tamil pride which I've seen during anti Hindi protests in the 80s in TN,"Jan 18, 2017",Jalikattu,"Special focus on the mass protests by students across Tamil Nadu for Jalikattu,with live reports from Marina beach",ENGLISH
Important point,"Jan 18, 2017",Jalikattu,"Special focus on the mass protests by students across Tamil Nadu for Jalikattu,with live reports from Marina beach",CODE-MIXED
"happy to see coverage for Jallikattu protests on 
@USER_79
 -Important to understand Tamil culture, tradition & pride.","Jan 18, 2017",Jalikattu,"Special focus on the mass protests by students across Tamil Nadu for Jalikattu,with live reports from Marina beach",ENGLISH
"During Pongal festival we celebrate one day as ""Mattu Pongal"" to worship the cow/bull. That's a tradition of worship not violence","Jan 18, 2017",Jalikattu,"Special focus on the mass protests by students across Tamil Nadu for Jalikattu,with live reports from Marina beach",ENGLISH
Superstar Rajni has played roles of Jallikattu hero in his films. Ask him if bullying the bull is a tradition! Not at all.,"Jan 18, 2017",Jalikattu,"Special focus on the mass protests by students across Tamil Nadu for Jalikattu,with live reports from Marina beach",ENGLISH
Important for arm chair activists to understand the rich culture & tradition /& Tamil pride in the sport before they comment,"Jan 18, 2017",Jalikattu,"Special focus on the mass protests by students across Tamil Nadu for Jalikattu,with live reports from Marina beach",ENGLISH
"why only bull.. they shud run with T-rex dino
Jurassic Jallikatu
@USER_92","Jan 18, 2017",Jalikattu,"Special focus on the mass protests by students across Tamil Nadu for Jalikattu,with live reports from Marina beach",ENGLISH
boss I also said the same thing. Pls read the tweet properly before responding. Bullying is not our tradition,"Jan 20, 2017",Jalikattu,"Special focus on the mass protests by students across Tamil Nadu for Jalikattu,with live reports from Marina beach",ENGLISH
இவருக்கு வேற வேலையே இல்லையா?,"Jan 26, 2017",Jalikattu,#Jallikatu கலவரத்தில் நடுக்குப்பம் பகுதி மக்களுக்கு அரசு உரிய இழப்பீடு வழங்க வேண்டும் - #TholThirumavalavan #JallikattuProtest #Chennai,TAMIL
சொல்லிட்டார்  collector,"Jan 26, 2017",Jalikattu,#Jallikatu கலவரத்தில் நடுக்குப்பம் பகுதி மக்களுக்கு அரசு உரிய இழப்பீடு வழங்க வேண்டும் - #TholThirumavalavan #JallikattuProtest #Chennai,CODE-MIXED
Kindly add to your tweet mentioning White boards only.....,"May 7, 2021",Free bus commute for women. boon or bane,Free bus travel for women scheme announced by Tamil Nadu CM #MKStalin being implemented on ground.,ENGLISH
Tamilnadu voted well. The change is clearly there to be seen and it’s only day 1 ,"May 7, 2021",Free bus commute for women. boon or bane,Free bus travel for women scheme announced by Tamil Nadu CM #MKStalin being implemented on ground.,ENGLISH
Man they are so fast ,"May 7, 2021",Free bus commute for women. boon or bane,Free bus travel for women scheme announced by Tamil Nadu CM #MKStalin being implemented on ground.,CODE-MIXED
"Idhuvae jayalalitha CM ah irundhurundha Amma Bus, Amma scheme nu evlo ads panniruppanga aana Dmk ku idha ellam vechi vilambaram thedikka maataanga","May 7, 2021",Free bus commute for women. boon or bane,Free bus travel for women scheme announced by Tamil Nadu CM #MKStalin being implemented on ground.,CODE-MIXED
Super,"May 7, 2021",Free bus commute for women. boon or bane,Free bus travel for women scheme announced by Tamil Nadu CM #MKStalin being implemented on ground.,CODE-MIXED
Full time CM PRO from today pola.. ,"May 7, 2021",Free bus commute for women. boon or bane,Free bus travel for women scheme announced by Tamil Nadu CM #MKStalin being implemented on ground.,ENGLISH
govt funds will be bankrupt soon,"May 7, 2021",Free bus commute for women. boon or bane,Free bus travel for women scheme announced by Tamil Nadu CM #MKStalin being implemented on ground.,ENGLISH
On the mark now...,"May 7, 2021",Free bus commute for women. boon or bane,Free bus travel for women scheme announced by Tamil Nadu CM #MKStalin being implemented on ground.,CODE-MIXED
Dei journo aka koothadimai tell the full truth.. It's only in white board buses which are 1 in 10 buses.. Of course you won't know bcoz you have the luxurious cars from your boses..,"May 7, 2021",Free bus commute for women. boon or bane,Free bus travel for women scheme announced by Tamil Nadu CM #MKStalin being implemented on ground.,ENGLISH
@USER_52,"May 7, 2021",Free bus commute for women. boon or bane,Free bus travel for women scheme announced by Tamil Nadu CM #MKStalin being implemented on ground.,CODE-MIXED
"@USER_52
 fyi","May 7, 2021",Free bus commute for women. boon or bane,Free bus travel for women scheme announced by Tamil Nadu CM #MKStalin being implemented on ground.,CODE-MIXED
"@USER_33
 உங்கள் கோரிக்கை","May 7, 2021",Free bus commute for women. boon or bane,Free bus travel for women scheme announced by Tamil Nadu CM #MKStalin being implemented on ground.,TAMIL
Super  ,"May 7, 2021",Free bus commute for women. boon or bane,Free bus travel for women scheme announced by Tamil Nadu CM #MKStalin being implemented on ground.,CODE-MIXED
"Who is nominated opposition leader in 
@USER_1","May 7, 2021",Free bus commute for women. boon or bane,Free bus travel for women scheme announced by Tamil Nadu CM #MKStalin being implemented on ground.,ENGLISH
அருமை,"May 7, 2021",Free bus commute for women. boon or bane,Free bus travel for women scheme announced by Tamil Nadu CM #MKStalin being implemented on ground.,TAMIL
"இது தருவதே பெரிது இதுல white board,black boardனு .இதையும் ரத்து செய்யுங்க திருந்துவாங்க ","May 7, 2021",Free bus commute for women. boon or bane,Free bus travel for women scheme announced by Tamil Nadu CM #MKStalin being implemented on ground.,CODE-MIXED
வாழ்த்துகள் மன்பு மிகு முதலமைச்சர் M K Stalin,"May 7, 2021",Free bus commute for women. boon or bane,Free bus travel for women scheme announced by Tamil Nadu CM #MKStalin being implemented on ground.,CODE-MIXED
Male no free seat,"May 7, 2021",Free bus commute for women. boon or bane,Free bus travel for women scheme announced by Tamil Nadu CM #MKStalin being implemented on ground.,CODE-MIXED
Not ALL buses,"May 7, 2021",Free bus commute for women. boon or bane,Free bus travel for women scheme announced by Tamil Nadu CM #MKStalin being implemented on ground.,CODE-MIXED
செம ,"May 7, 2021",Free bus commute for women. boon or bane,Free bus travel for women scheme announced by Tamil Nadu CM #MKStalin being implemented on ground.,TAMIL
இதனுள் ஒளிந்திருக்கும் ஒரு பெரும் தலைவர் பெயர் ???,"May 7, 2021",Free bus commute for women. boon or bane,Free bus travel for women scheme announced by Tamil Nadu CM #MKStalin being implemented on ground.,TAMIL
How they allow transgender also.,"May 7, 2021",Free bus commute for women. boon or bane,Free bus travel for women scheme announced by Tamil Nadu CM #MKStalin being implemented on ground.,ENGLISH
Maakkalatchi,"May 7, 2021",Free bus commute for women. boon or bane,Free bus travel for women scheme announced by Tamil Nadu CM #MKStalin being implemented on ground.,CODE-MIXED
Official Spokesperson of DMK ,"May 7, 2021",Free bus commute for women. boon or bane,Free bus travel for women scheme announced by Tamil Nadu CM #MKStalin being implemented on ground.,ENGLISH
"@USER_74
 valthukkal sir","May 7, 2021",Free bus commute for women. boon or bane,Free bus travel for women scheme announced by Tamil Nadu CM #MKStalin being implemented on ground.,CODE-MIXED
எப்பா dmk காரன் கூட இப்படி வேலை பார்க்கல,"May 7, 2021",Free bus commute for women. boon or bane,Free bus travel for women scheme announced by Tamil Nadu CM #MKStalin being implemented on ground.,CODE-MIXED
Is it applicable on all long distance buses too ?,"May 7, 2021",Free bus commute for women. boon or bane,Free bus travel for women scheme announced by Tamil Nadu CM #MKStalin being implemented on ground.,ENGLISH
Only in white board buses ? Or delux too ?,"May 7, 2021",Free bus commute for women. boon or bane,Free bus travel for women scheme announced by Tamil Nadu CM #MKStalin being implemented on ground.,ENGLISH
"Instead of freebies to women, give them equal opportunities for employment","May 7, 2021",Free bus commute for women. boon or bane,Free bus travel for women scheme announced by Tamil Nadu CM #MKStalin being implemented on ground.,ENGLISH
TN government started functioning after 10 years!! Thanks MKS,"May 7, 2021",Free bus commute for women. boon or bane,Free bus travel for women scheme announced by Tamil Nadu CM #MKStalin being implemented on ground.,ENGLISH
"Come on authorities, driver needs windshield to get visibility and not to fill up with stickers. 
@USER_74
 getting to your attention.","May 7, 2021",Free bus commute for women. boon or bane,Free bus travel for women scheme announced by Tamil Nadu CM #MKStalin being implemented on ground.,ENGLISH
Aangal enna paavam pannom ella salugaigalum pengalukku mattum..  ivangala free ya vittadhukku bus ticket rate ah korachirukalaam ellaarum palan adanjirupaanga,"May 7, 2021",Free bus commute for women. boon or bane,Free bus travel for women scheme announced by Tamil Nadu CM #MKStalin being implemented on ground.,CODE-MIXED
"வெற்று அறிவிப்பா இல்ல
முதல்வர் போட்டோ இல்ல
முதல்வர் பெயரும் இல்ல
துவக்க விழா இல்ல

ஆனா நாளை முதல் எளிய மகளிர் பயன் பெறப்போகும் திட்டம் அமலுக்கு வந்ததேவிட்டது.
#ChiefMinisterMKStalin","May 7, 2021",Free bus commute for women. boon or bane,Free bus travel for women scheme announced by Tamil Nadu CM #MKStalin being implemented on ground.,CODE-MIXED
"திருச்சியிலிருந்து புதுக்கோட்டை கூட சாதாரண பேருந்திலேயே மகளிர் இலவசமாக பயணம் செய்யலாம்.(நேரம் ஆகும்)
திருச்சியிலிருந்து கீரனூர் லோக்கல் டவுன் பஸ், (45 நிமிடம்)கீரனூரில் இருந்து புதுக்கோட்டை லோக்கல் டவுன் பஸ் (ஒரு மணி நேரம்+)
(நேரடி போக்குவரத்து ஆக இருந்தால் ஒரு மணி நேரம்)
#DMK","May 7, 2021",Free bus commute for women. boon or bane,Free bus travel for women scheme announced by Tamil Nadu CM #MKStalin being implemented on ground.,CODE-MIXED
See the video to know how modi@and reliance cheating public ,"May 8, 2021",Free bus commute for women. boon or bane,Free bus travel for women scheme announced by Tamil Nadu CM #MKStalin being implemented on ground.,ENGLISH
"Free bus pass for women.
Free liquor pass for men.","May 8, 2021",Free bus commute for women. boon or bane,Free bus travel for women scheme announced by Tamil Nadu CM #MKStalin being implemented on ground.,ENGLISH
போடுறா வெடிய!!!!!,"May 8, 2021",Free bus commute for women. boon or bane,Free bus travel for women scheme announced by Tamil Nadu CM #MKStalin being implemented on ground.,TAMIL
Is it applicable for all buses?,"May 8, 2021",Free bus commute for women. boon or bane,Free bus travel for women scheme announced by Tamil Nadu CM #MKStalin being implemented on ground.,ENGLISH
நன்றி முதல்வரே,"May 8, 2021",Free bus commute for women. boon or bane,Free bus travel for women scheme announced by Tamil Nadu CM #MKStalin being implemented on ground.,TAMIL
"Very fair, indeed. ","Mar 10, 2022",Free bus commute for women. boon or bane,"This woman farmer took the free bus ride for women, from her village to the market 20 kms away. She's saved 40 rupees in fare today 🤩 #TamilNadu",CODE-MIXED
"It’s tough to explain to people well off ( who lack analytical abilities ), how much difference this makes to a large section of the population in India and the consequent increased economic productivity .","Mar 10, 2022",Free bus commute for women. boon or bane,"This woman farmer took the free bus ride for women, from her village to the market 20 kms away. She's saved 40 rupees in fare today 🤩 #TamilNadu",ENGLISH
"god bless you, dear brave woman","Mar 10, 2022",Free bus commute for women. boon or bane,"This woman farmer took the free bus ride for women, from her village to the market 20 kms away. She's saved 40 rupees in fare today 🤩 #TamilNadu",CODE-MIXED
"That 40 rupees means meals for a day in some households. Will done
At the same time, such a welcome scheme should not push the RTC into further losses. Gov should compensate the transport for the expenses.","Mar 10, 2022",Free bus commute for women. boon or bane,"This woman farmer took the free bus ride for women, from her village to the market 20 kms away. She's saved 40 rupees in fare today 🤩 #TamilNadu",ENGLISH
"This woman flower seller was skipping meals to save her income, now eating & drinking a tea in the money saved from levied bus fare.
@USER_74
 ","Mar 10, 2022",Free bus commute for women. boon or bane,"This woman farmer took the free bus ride for women, from her village to the market 20 kms away. She's saved 40 rupees in fare today 🤩 #TamilNadu",ENGLISH
"@USER_88
 @USER_98
 @USER_4","Mar 10, 2022",Free bus commute for women. boon or bane,"This woman farmer took the free bus ride for women, from her village to the market 20 kms away. She's saved 40 rupees in fare today 🤩 #TamilNadu",CODE-MIXED
40 Rupees means a lot to women especially for the rural … direct benefit of the govt reaching the tail end…,"Mar 10, 2022",Free bus commute for women. boon or bane,"This woman farmer took the free bus ride for women, from her village to the market 20 kms away. She's saved 40 rupees in fare today 🤩 #TamilNadu",ENGLISH
For context of how big an impact this has -,"Mar 10, 2022",Free bus commute for women. boon or bane,"This woman farmer took the free bus ride for women, from her village to the market 20 kms away. She's saved 40 rupees in fare today 🤩 #TamilNadu",ENGLISH
She fully deserves it..but the schemes should be targetted and not a blanket scheme where even the elite benefit. Thats a recipe for failure.,"Mar 10, 2022",Free bus commute for women. boon or bane,"This woman farmer took the free bus ride for women, from her village to the market 20 kms away. She's saved 40 rupees in fare today 🤩 #TamilNadu",ENGLISH
